קוד,פריט,משפחת פריט,קבוצת פריט,צורת ניהול מלאי,יחידת מידה,איפיון פריט 06,איפיון חברה,מזהה מדבקה לפריט
GLG-6060-23010400-25L,"מסיר שומנים מרוכז, ג'ריקן 25 ליטר",חמרי ניקוי,חמרי ניקוי,אצווה,25L,ימי,גרין גלובל,20090297
GLG-6060-20100400-5L,"מסיר שומנים מרוכז, ג'ריקן 5 ליטר",חמרי ניקוי,חמרי ניקוי,אצווה,5L,ימי,גרין גלובל,20090295
GLG-6052-23010403-25L,"מנקה גריל ותנורים מבושם, ג'ריקן 25 ליטר",חמרי ניקוי,חמרי ניקוי,אצווה,25L,בייתי,גרין גלובל,20090292
GLG-6052-20100403-5L,"מנקה גריל ותנורים מבושם, ג'ריקן 5 ליטר",חמרי ניקוי,חמרי ניקוי,אצווה,5L,בייתי,גרין גלובל,20090290
GLG-6051-20100402-5L,"מסיר שומנים חזק למטבח בניחוח אביב, ג'ריקן 5 ליטר",חמרי ניקוי,חמרי ניקוי,אצווה,5L,בייתי,גרין גלובל,20090288
GLG-6044-23010000-25L,"נוזל לניקוי פירות וירקות, 25 ליטר",חמרי ניקוי,חמרי ניקוי,אצווה,25L,בייתי,גרין גלובל,20090285
GLG-6044-20100000-5L,"נוזל לניקוי פירות וירקות, ג'ריקן 5 ליטר",חמרי ניקוי,חמרי ניקוי,אצווה,5L,בייתי,גרין גלובל,20090283
GLG-6043-42300000-750ML,"נוזל ניקוי לשטיפת פירות וירקות, בקבוק 750 מ""ל",חמרי ניקוי,חמרי ניקוי,אצווה,750ML,מוסדי,גרין גלובל,20090281
GLG-6043-23010000-25L,"נוזל ניקוי לשטיפת פירות וירקות, 25 ליטר",חמרי ניקוי,חמרי ניקוי,אצווה,25L,מוסדי,גרין גלובל,20090278
GLG-6043-20100000-5L,"נוזל ניקוי לשטיפת פירות וירקות, ג'ריקן 5 ליטר",חמרי ניקוי,חמרי ניקוי,אצווה,5L,מוסדי,גרין גלובל,20090276
GLG-6023-42310400-750ML,"מסיר שומנים רב תכליתי חזק במיוחד, תרסיס 750 מ""ל",חמרי ניקוי,חמרי ניקוי,אצווה,750ML,מוסדי,גרין גלובל,20090274
GLG-6023-23010400-25L,"מסיר שומנים רב תכליתי חזק במיוחד, ג'ריקן 25 ליטר",חמרי ניקוי,חמרי ניקוי,אצווה,25L,מוסדי,גרין גלובל,20090271
GLG-6023-20100400-5L,"מסיר שומנים רב תכליתי חזק במיוחד, ג'ריקן 5 ליטר",חמרי ניקוי,חמרי ניקוי,אצווה,5L,מוסדי,גרין גלובל,20090269
GLG-6020-20100002-5L,"נוזל רצפה מרוכז בניחוח אביב, ג'ריקן 5 ליטר",חמרי ניקוי,חמרי ניקוי,אצווה,5L,מוסדי,גרין גלובל,20090267
GLG-6003-23010000-25L,"מסיר שומנים לתעשיית המזון והמשקאות, ג'ריקן 25 ליטר",חמרי ניקוי,חמרי ניקוי,אצווה,25L,תעשייתי,גרין גלובל,20090264
GLG-6003-20100000-5L,"מסיר שומנים לתעשיית המזון והמשקאות, ג'ריקן 5 ליטר",חמרי ניקוי,חמרי ניקוי,אצווה,5L,תעשייתי,גרין גלובל,20090262
GLG-4127-51510107-100ML,"תרסיס ידיים, בקבוקון חום 100 מ""ל",חמרי ניקוי,חמרי ניקוי,אצווה,100ML,מוסדי,גרין גלובל,20090259
GLG-3991-42310001-750ML,"נוזל לניקוי וחיטוי משטחים בניחוח לימון, תרסיס 750 מ""ל",חמרי ניקוי,חמרי ניקוי,אצווה,750ML,תעשייתי,גרין גלובל,20090257
GLG-3991-23010001-25L,"נוזל לניקוי וחיטוי משטחים בניחוח לימון, ג'ריקן 25 ליטר",חמרי ניקוי,חמרי ניקוי,אצווה,25L,תעשייתי,גרין גלובל,20090254
